Species,Organism.ID,Blank ,Initial Volume (ml),Pre Burn Dry,Post Burn ,AFDW
Bgran,BgranBk_9,1,0,0,0,0
Bgran,Bgran_10,,8,0.411,0.04,0.371
Tplan,TplanBk_1,1,0,0,0,0
Tplan,Tplan_2,,27,40.352,35.398,4.954
Tplan,TplanBk_3,1,0,0,0,0
Tplan,Tplan_4,,13,22.785,19.991,2.794
Tplan,Tplan_5,,26,47.849,42.899,4.95
Tplan,Tplan_6,,9,12.294,11.262,1.032
Tplan,Tplan_7,,19,35.274,32.168,3.106
Tplan,Tplan_8,,42,71.53,64.352,7.178
Tplan,Tplan_9,,23,38.768,35.075,3.693
Tplan,Tplan_10,,14,13.574,12.17,1.404
Ltube,Ltube_1,,6,3.091,2.741,0.35
Ltube,Ltube_2,,7,5.615,4.598,1.017
Ltube,LtubeBk_3,1,0,0,0,0
Ltube,Ltube_4,,9,3.577,3.054,0.523
Ltube,Ltube_5,,3,1.27,1.122,0.148
Ltube,Ltube_6,,6,2.344,2.023,0.321
Ltube,Ltube_7,,3,1.126,0.94,0.186
Ltube,Ltube_8,,3,1.336,1.225,0.111
Ltube,LtubeBk_9,1,0,0,0,0
Ltube,Ltube_10,,2,0.978,0.857,0.121
Prubr,Prubr_1,,7,2.616,1.934,0.682
Prubr,Prubr_2,,6,1.519,1.144,0.375
Prubr,Prubr_3,,9,3.234,2.345,0.889
Prubr,PrubrBk_4,1,0,0,0,0
Prubr,Prubr_5,,6,2.085,1.524,0.561
Prubr,PrubrBk_6,1,0,0,0,0
Prubr,Prubr_7,,7,2.556,1.899,0.657
Prubr,Prubr_8,,5,1.366,1.035,0.331
Prubr,Prubr_9,,5,2.131,1.566,0.565
Prubr,Prubr_10,,5,1.712,1.013,0.699
Acali,Acali_1,,9,0.606,0.326,0.28
Acali,AcaliBk_2,1,0,0,0,0
Acali,Acali_3,,12,0.548,0.247,0.301
Acali,Acali_4,,5,0.316,0.132,0.184
Acali,AcaliBk_5,1,0,0,0,0
Acali,Acali_6,,12,0.5,0.277,0.223
Acali,Acali_7,,8,0.355,0.198,0.157
Acali,Acali_8,,6,0.282,0.15,0.132
Acali,Acali_9,,9,0.603,0.347,0.256
Acali,Acali_10,,5,0.27,0.134,0.136
Ptube,PtubeBk_1,1,0,0,0,0
Ptube,Ptube_2,,23,2.033,1.374,0.659
Ptube,Ptube_3,,17,1.739,1.229,0.51
Ptube,Ptube_4,,13,1.49,1.077,0.413
Ptube,Ptube_5,,17,1.663,1.142,0.521
Ptube,Ptube_6,,16,1.449,1.013,0.436
Ptube,Ptube_7,,14,1.48,1.037,0.443
Ptube,PtubeBk_8,1,0,0,0,0
Ptube,Ptube_9,,17,1.693,1.128,0.565
Ptube,Ptube_10,,13,0.778,0.523,0.255
Egala2,Egala2_1,,42,30.912,27.465,3.447
Egala2,Egala2_2,,41,26.9,24.631,2.269
Egala2,Egala2_3,,46,30.276,27.104,3.172
Egala2,Egala2_4,,25,19.471,18.128,1.343
Egala2,Egala2Bk_5,1,0,0,0,0
Egala2,Egala2_6,,49,31.843,29.033,2.81
Egala2,Egala2Bk_7,1,0,0,0,0
Egala2,Egala2_8,,31,24.355,22.391,1.964
Egala2,Egala2_9,,42,33.09,29.739,3.351
Egala2,Egala2_10,,47,29.162,25.357,3.805
Bdide,Bdide_1,,9,1.417,0.987,0.43
Bdide,Bdide_2,,5,0.232,0.114,0.118
Bdide,Bdide_3,,8,0.458,0.293,0.165
Bdide,BdideBk_4,1,0,0,0,0
Bdide,Bdide_5,,7,0.331,0.195,0.136
Bdide,Bdide_6,,5,0.34,0.151,0.189
Bdide,Bdide_7,,7,0.761,0.506,0.255
Bdide,Bdide_8,,5,0.437,0.175,0.262
Bdide,Bdide_9,,6,0.602,0.368,0.234
Bdide,BdideBk_10,1,0,0,0,0
Ukred,Ukred_1,,5,0.293,0.12,0.173
Ukred,UkredBk_2,1,0,0,0,0
Ukred,Ukred_3,,10,0.898,0.478,0.42
Ukred,Ukred_4,,15,1.45,0.934,0.516
Ukred,Ukred_5,,8,0.774,0.321,0.453
Ukred,Ukred_6,,7,0.716,0.302,0.414
Ukred,Ukred_7,,5,0.467,0.242,0.225
Ukred,UkredBk_8,1,0,0,0,0
Ukred,Ukred_9,,7,0.286,0.1,0.186
Ukred,Ukred_10,,4,0.394,0.189,0.205
Ukorg,UkorgBk_1,1,0,0,0,0
Ukorg,Ukorg_2,,8,0.486,0.279,0.207
Ukorg,Ukorg_3,,11,0.959,0.599,0.36
Ukorg,UkorgBk_4,1,0,0,0,0
Ukorg,Ukorg_5,,5,0.359,0.19,0.169
Ukorg,Ukorg_6,,14,1.052,0.542,0.51
Ukorg,Ukorg_7,,10,0.755,0.438,0.317
Ukorg,Ukorg_8,,6,0.321,0.176,0.145
Ukorg,Ukorg_9,,4,0.273,0.16,0.113
Ukorg,Ukorg_10,,15,1.074,0.605,0.469
Anigr,Anigr_1,,3,0.139,0.025,0.114
Anigr,Anigr_2,,3,0.093,0.04,0.053
Anigr,Anigr_3,,3,0.054,0.007,0.047
Anigr,Anigr_4,,4,0.122,0.019,0.103
Anigr,Anigr_5,,1,0.026,0.005,0.021
Anigr,Anigr_6,,2,0.046,0.008,0.038
Anigr,Anigr_7,,2,0.05,0.007,0.043
Anigr,AnigrBk_8,1,0,0,0,0
Anigr,Anigr_9,,3,0.05,0.012,0.038
Anigr,AnigrBk_10,1,0,0,0,0
Xcook,Xcook_1,,4,0.328,0.171,0.157
Xcook,Xcook_2,,6,0.642,0.406,0.236
Xcook,Xcook_3,,3,0.094,0.05,0.044
Xcook,Xcook_4,,5,0.405,0.222,0.183
Xcook,Xcook_5,,7,2.002,1.207,0.795
Xcook,XcookBk_6,1,0,0,0,0
Xcook,Xcook_7,,5,0.536,0.324,0.212
Xcook,XcookBk_8,1,0,0,0,0
Xcook,Xcook_9,,5,0.375,0.24,0.135
Xcook,Xcook_10,,3,0.15,0.081,0.069
Ecomp,Ecomp_1,,3,0.339,0.061,0.278
Ecomp,Ecomp_2,,4,0.622,0.15,0.472
Ecomp,Ecomp_3,,3,0.283,0.081,0.202
Ecomp,Ecomp_4,,3,0.34,0.088,0.252
Ecomp,Ecomp_5,,2,0.208,0.037,0.171
Ecomp,EcompBk_6,1,0,0,0,0
Ecomp,Ecomp_7,,3,0.225,0.044,0.181
Ecomp,Ecomp_8,,2,0.237,0.048,0.189
Ecomp,EcompBk_9,1,0,0,0,0
Ecomp,Ecomp_10,,3,0.287,0.062,0.225
Fobsc,Fobsc_1,,1,0.074,0.067,0.007
Fobsc,Fobsc_2,,3,0.556,0.484,0.072
Fobsc,Fobsc_3,,2,0.335,0.272,0.063
Fobsc,FobscBk_4,1,0,0,0,0
Fobsc,FobscBk_5,1,0,0,0,0
Fobsc,Fobsc_6,,1,0.122,0.099,0.023
Fobsc,Fobsc_7,,2,0.202,0.17,0.032
Fobsc,Fobsc_8,,2,0.165,0.134,0.031
Fobsc,Fobsc_9,,3,0.343,0.291,0.052
Fobsc,Fobsc_10,,3,0.587,0.491,0.096
Cfusc,Cfusc_1,,3,0.349,0.337,0.012
Cfusc,Cfusc_2,,3,0.566,0.506,0.06
Cfusc,Cfusc_3,,3,0.3,0.267,0.033
Cfusc,Cfusc_4,,3,0.477,0.423,0.054
Cfusc,Cfusc_5,,3,0.392,0.344,0.048
Cfusc,Cfusc_6,,3,0.378,0.33,0.048
Cfusc,CfuscBk_7,1,0,0,0,0
Cfusc,CfuscBk_8,1,0,0,0,0
Cfusc,Cfusc_9,,3,0.49,0.444,0.046
Cfusc,Cfusc_10,,3,0.451,0.399,0.052
Cgood,Cgood_1,,30,19.367,14.759,4.608
Cgood,Cgood_2,,23,15.124,11.852,3.272
Cgood,CgoodBk_3,1,0,0,0,0
Cgood,CgoodBk_4,1,0,0,0,0
Cgood,Cgood_5,,26,13.782,10.636,3.146
Cgood,CgoodBk_6,1,0,0,0,0
Cgood,Cgood_7,,19,8.584,6.704,1.88
Cgood,Cgood_8,,15,12.248,9.244,3.004
Cgood,Cgood_9,,22,14.945,11.713,3.232
Cgood,Cgood_10,,13,6.738,5.13,1.608
Sarg,Sarg_1,,9,0.733,0.294,0.439
Sarg,Sarg_2,,8,0.734,0.313,0.421
Sarg,Sarg_3,,9,0.661,0.289,0.372
Sarg,Sarg_4,,9,0.761,0.317,0.444
Sarg,Sarg_5,,9,0.751,0.283,0.468
Sarg,Sarg_6,,9,0.826,0.345,0.481
Sarg,Sarg_7,,8,0.663,0.261,0.402
Sarg,SargBk_8,1,0,0,0,0
Sarg,Sarg_9,,7,0.813,0.353,0.46
Sarg,SargBk_10,1,0,0,0,0
Ulva,Ulva_1,,10,0.901,0.528,0.373
Ulva,Ulva_2,,12,0.817,0.443,0.374
Ulva,Ulva_3,,13,1.394,0.908,0.486
Ulva,Ulva_4,,13,1.047,0.599,0.448
Ulva,Ulva_5,,12,0.888,0.536,0.352
Ulva,Ulva_6,,23,1.115,0.663,0.452
Ulva,UlvaBk_7,1,0,0,0,0
Ulva,UlvaBk_8,1,0,0,0,0
Ulva,Ulva_9,,10,0.981,0.608,0.373
Ulva,Ulva_10,,13,0.934,0.595,0.339
Padi,Padi_1,,9,1.032,0.332,0.7
Padi,Padi_2,,12,1.179,0.421,0.758
Padi,Padi_3,,13,1.393,0.449,0.944
Padi,Padi_4,,9,1.175,0.351,0.824
Padi,Padi_5,,10,1.048,0.344,0.704
Padi,Padi_6,,14,1.186,0.461,0.725
Padi,Padi_7,,12,1.233,0.376,0.857
Padi,PadiBk_8,1,0,0,0,0
Padi,PadiBk_9,1,0,0,0,0
Padi,Padi_10,,10,1.412,0.375,1.037
Secu,SecuBk_1,1,0,0,0,0
Secu,Secu_2,,9,0.527,0.227,0.3
Secu,Secu_3,,11,0.533,0.224,0.309
Secu,Secu_4,,8,0.732,0.239,0.493
Secu,SecuBk_5,1,0,0,0,0
Secu,Secu_6,,9,0.907,0.334,0.573
Secu,Secu_7,,8,0.758,0.23,0.528
Secu,Secu_8,,8,0.538,0.222,0.316
Secu,Secu_9,,7,0.692,0.246,0.446
Secu,Secu_10,,10,0.605,0.244,0.361
Grac,Grac_1,,10,1.194,0.404,0.79
Grac,Grac_2,,9,0.8,0.275,0.525
Grac,GracBk_3,1,0,0,0,0
Grac,Grac_4,,9,1.426,0.567,0.859
Grac,Grac_5,,10,0.869,0.319,0.55
Grac,Grac_6,,12,0.926,0.323,0.603
Grac,Grac_7,,11,0.894,0.32,0.574
Grac,Grac_8,,10,0.931,0.317,0.614
Grac,GracBk_9,1,0,0,0,0
Grac,Grac_10,,10,0.992,0.392,0.6
