ID,Organism.ID
Secu_4_30C_D,Secu_4_D
Secu_10_18C,Secu_10
SecuBk_5_36C_D,Secu_5_D
Ulva_3_32C_D,Ulva_3_D
Ulva_4_34C_D,Ulva_4_D
Ulva_6_26C,Ulva_6
UlvaBk_8_32C_D,UlvaBk_8_D
Grac_5_18C_D,Grac_5_D
Padi_2_28C,Padi_2
Padi_5_34C,Padi_5
Padi_6_41C_D,Padi_6_D
Sarg_9_36C,Sarg_9
Grac_2_14C_D,Grac_2_D
Padi_2_30C,Padi_2
Padi_3_28C_D,Padi_3_D
Padi_4_18C,Padi_4
Padi_5_18C,Padi_5
Sarg_1_34C_D,Sarg_1_D
Sarg_6_18C_D,Sarg_6_D
Sarg_6_28C,Sarg_6
Sarg_9_22C,Sarg_9
Sarg_9_28C,Sarg_9
Secu_4_40C,Secu_4_D
Secu_8_18C_D,Secu_8_D
Secu_10_32C,Secu_10
SecuBk_5_38C_D,SecuBk_5_D
Ulva_1_32C_D,Ulva_1_D
Ulva_4_28C,Ulva_4
Ulva_9_32C,Ulva_9
Ulva_9_38C_D,Ulva_9_D
Grac_1_14C_D,Grac_1_D
Grac_1_14C,Grac_1
Grac_1_34C,Grac_1
Grac_7_18C_D,Grac_7_D
GracBk_9_28C_D,GracBk_9_D
Padi_5_28C,Padi_5
Padi_5_41C_D,Padi_5_D
Padi_7_28C,Padi_7
Padi_7_41C_D,Padi_7_D
Padi_10_18C,Padi_10
Sarg_2_28C,Sarg_2
Sarg_3_28C,Sarg_3
Sarg_3_36C,Sarg_3
Sarg_5_40C_D,Sarg_5_D
SecuBk_1_30C_D,SecuBk_1_D
Ulva_2_30C_D,Ulva_2_D
Ulva_5_38C,Ulva_5
UlvaBk_7_38C_D,UlvaBk_7_D
UlvaBk_7_40C,UlvaBk_7_D
UlvaBk_8_40C_D,UlvaBk_8_D
Grac_4_14C_D,Grac_4_D
Grac_4_18C,Grac_4
Grac_7_14C,Grac_7
Grac_7_18C,Grac_7
GracBk_9_30C,GracBk_9
Padi_6_18C,Padi_6
PadiBk_9_30C_D,PadiBk_9_D
Sarg_2_40C_D,Sarg_2
Sarg_3_34C_D,Sarg_3_D
Sarg_5_34C_D,Sarg_5_D
Secu_6_38C_D,Secu_6_D
Secu_9_14C,Secu_9
Ulva_1_40C_D,Ulva_1_D
Ulva_6_14C,Ulva_6
Ulva_6_30C_D,Ulva_6_D
Ulva_9_14C,Ulva_9
Ulva_9_30C,Ulva_9
Ulva_9_34C_D,Ulva_9_D
Ulva_10_38C_D,Ulva_10_D
Grac_6_14C_D,Grac_6_D
Grac_6_14C,Grac_6
Grac_6_30C_D,Grac_6_D
Grac_8_14C_D,Grac_8
Grac_8_28C_D,Grac_8_D
Grac_10_18C_D,Grac_10_D
Padi_2_36C,Padi_2
Padi_3_36C,Padi_3
Sarg_2_34C_D,Sarg_2_D
Sarg_3_14C_D,Sarg_3_D
Secu_2_38C,Secu_2
Secu_3_28C_D,Secu_3_D
Ulva_2_18C,Ulva_2
Ulva_2_40C,Ulva_2
Ulva_3_34C,Ulva_3_D
Ulva_3_40C_D,Ulva_3_D
Ulva_4_22C,Ulva_4
Ulva_5_30C_D,Ulva_5_D
Ulva_10_40C_D,Ulva_10_D
UlvaBk_7_30C,UlvaBk_7
UlvaBk_7_40C_D,UlvaBk_7_D
UlvaBk_8_34C_D,UlvaBk_8_D
Grac_2_18C,Grac_2
Grac_7_30C,Grac_7
Padi_2_39C_D,Padi_2_D
Padi_10_28C,Padi_10
Padi_10_30C,Padi_10
Sarg_3_36C_D,Sarg_3_D
Secu_2_14C_D,Secu_2_D
Secu_2_14C,Secu_2
Secu_2_22C,Secu_2
Secu_6_14C_D,Secu_6_D
Secu_6_22C_D,Secu_6_D
Secu_9_30C,Secu_9_D
Secu_9_36C_D,Secu_9_D
Ulva_2_32C,Ulva_2
Ulva_4_38C_D,Ulva_4_D
Ulva_5_32C,Ulva_5
Ulva_6_42C,Ulva_6
Grac_2_14C,Grac_2
Grac_5_18C,Grac_5
Grac_8_18C_D,Grac_8_D
Grac_10_18C,Grac_10
PadiBk_8_41C_D,PadiBk_8_D
Sarg_2_36C,Sarg_2
Sarg_4_18C_D,Sarg_4_D
Sarg_4_18C,Sarg_4
Sarg_5_18C,Sarg_5
Sarg_5_36C,Sarg_5
Sarg_7_18C_D,Sarg_7_D
Sarg_9_22C_D,Sarg_9_D
Secu_6_32C,Secu_6
Secu_6_36C_D,Secu_6_D
Secu_7_32C_D,Secu_7_D
Secu_9_32C,Secu_9
Ulva_1_34C_D,Ulva_1_D
Ulva_4_14C,Ulva_4
Ulva_5_40C,Ulva_5
Ulva_6_34C_D,Ulva_6_D
Ulva_6_40C_D,Ulva_6_D
Ulva_9_42C_D,Ulva_9_D
Ulva_10_14C_D,Ulva_10_D
UlvaBk_7_28C,UlvaBk_7
Grac_1_30C,Grac_1
Ulva_1_38C_D,Ulva_1_D
Acali_1_22C,Acali_1
Acali_3_26C,Acali_3
Acali_4_14C,Acali_4
Acal_4_18C,Acali_4
Acali_4_22C,Acali_4
Acali_4_26C,Acali_4
Acali_6_18C,Acali_6
Acali_6_30C,Acali_6
Acali_7_14C,Acali_7
Acali_7_18C,Acali_7
Acali_7_22C,Acali_7
Acali_10_14C,Acali_10
Acali_10_18C,Acali_10
Acali_10_22C,Acali_10
AcaliBk_2_14C,AcaliBk_2
AcaliBk_2_18C,AcaliBk_2
AcaliBk_2_32C,AcaliBk_2
AcaliBk_5_14C,AcaliBk_5
AcaliBk_5_18C,AcaliBk_5
Anigr_1_14C,Anigr_1
Anigr_1_26C,Anigr_1
Anigr_2_14C,Anigr_2
Anigr_2_18C,Anigr_2
Anigr_3_14C,Anigr_3
Anigr_3_18C,Anigr_3
Anigr_4_14C,Anigr_4
Anigr_4_18C,Anigr_4
Anigr_5_14C,Anigr_5
Anigr_5_18C,Anigr_5
Anigr_5_26C,Anigr_5
Anigr_5_40C,Anigr_5
Anigr_6_14C,Anigr_6
Anigr_6_18C,Anigr_6
Anigr_6_22C,Anigr_6
Anigr_7_14C,Anigr_7
Anigr_7_18C,Anigr_7
Anigr_7_38C,Anigr_7
Anigr_9_14C,Anigr_9
Anigr_9_18C,Anigr_9
AnigrBk_8_14C,Anigr_8
AnigrBk_8_18C,Anigr_8
AnigrBk_8_40C,Anigr_8
AnigrBk_10_14C,AnigrBk_10
AnigrBk_10_18C,AnigrBk_10
Bdide_2_14C,Bdide_2
Bdide_5_14C,Bdide_5
Bdide_6_18C,Bdide_6
Bdide_6_22C,Bdide_6
Bdide_6_40C,Bdide_6
BdideBk_4_14C,BdideBk_4
BdideBk_4_18C,BdideBk_4
BdideBk_4_26C,BdideBk_4
BdideBk_4_40C,BdideBk_4
BdideBk_10_14C,BdideBk_10
BdideBk_10_18C,BdideBk_10
Bgran_2_29C,Bgran_2
Bgran_3_14C,Bgran_3
Bgran_8_14C,Bgran_8
BgranBk_4_14C,BgranBk_4
BgranBk_9_22C,BgranBk_9
Blank_1_30C,Blank_1
Blank_2_18C,Blank_2
Blank_2_30C,Blank_2
Blank_2_34C,Blank_2
Blank_3_30C,Blank_2
Blank_4_26C,Blank_4
Blank_4_30C,Blank_4
Blank_7_36C,Blank_7
Cexpl_4_14C,Cexpl_4
CexplBk_1_14C,CexplBK_1
CexplBk_7_14C,CexplBk_7
Cfusc_1_22C,Cfus_1
Cfusc_3_14C,Cfusc_3
Cfusc_3_18C,Cfusc_3
Cfusc_3_22C,Cfusc_3
Cfusc_3_26C,Cfusc_3
Cfusc_3_28C,Cfusc_3
Cfusc_9_18C,Cfusc_9
Cfusc_10_14C,Cfusc_10
CfuscBk_7_18C,CfuscBK_7
CfuscBk_7_22C,CfuscBK_7
CfuscBk_7_26C,CfuscBK_7
CfuscBk_7_28C,CfuscBK_7
CfuscBk_7_30C,CfuscBK_7
CfuscBk_7_32C,CfuscBK_7
CgoodBk_3_14C,CgoodBk_3
CgoodBk_3_18C,CgoodBk_3
CgoodBk_4_14C,CgoodBk_4
CgoodBk_6_14C,CgoodBk_6
EcompBk_6_14C,EcompBk_6
EcompBk_6_18C,EcompBk_6
EcompBk_6_22C,EcompBk_6
Egala2_3_18C,Egala2_3
Egala2Bk_5_14C,Egala2Bk_5
Egala2Bk_7_14C,Egala2Bk_7
Egala2Bk_7_18C,Egala2Bk_7
EgalaBk_1_14C,EgalaBk_1
EgalaBk_7_14C,EgalaBk_7
Ggrap_4_18C,Ggrap_4
Ggrap_6_18C,Ggrap_6
Grac_6_34C,Grac_6
GracBK_3_14C_D,GracBk_3_D
GracBK_3_14C,GracBk_3_D
GracBk_3_22C_D,GracBk_3_D
GracBk_3_26C_D,GracBk_3_D
GracBk_3_26C,GracBk_3_D
GracBk_3_30C,GracBk_3
GracBk_9_18C,GracBk_9
Padi_2_32C_D,Padi_2_D
Padi_3_14C_D,Padi_3_D
Padi_4_39C,Padi_4
Padi_7_39C,Padi_7
Padi_10_39C,Padi_10
PadiBk_8_14C_D,PadiBk_8_D
PadiBk_8_14C,PadiBk_8
PadiBk_8_18C_D,PadiBk_8_D
PadiBk_8_18C,PadiBk_8
PadiBk_9_14C_D,PadiBk_9_D
PadiBk_9_14C,PadiBk_9
PadiBk_9_18C_D,PadiBk_9_D
PadiBk_9_22C_D,Padik_9_D
PadiBk_9_26C_D,PadiBk_9
PrubrBk_4_14C,PrubrBk_4
PrubrBk_6_14C,Prubr_6
Ptube_7_32C,Ptube_7
SargBk_8_14C_D,SargBk_8_D
SargBk_8_14C,SargBk_8
SargBk_8_18C_D,SargBk_8_D
SargBk_8_18C,SargBk_8
SargBK_8_26C,SargBk_8
SargBk_8_34C,SargBk_8
SargBk_10_14C_D,SargBk_10_D
SargBk_10_14C,SargBk_10
SargBk_10_18C_D,SargBk_10_D
SargBk_10_18C,SargBk_10
SargBk_10_26C,SargBk_10
Secu_2_38C_D,Secu_2
Secu_4_40C_D,Secu_2_D
Secu_6_38C,Secu_6
Secu_7_38C,Secu_7
Secu_8_30C,Secu_8
SecuBk_1_14C_D,SecuBk_1_D
SecuBk_1_14C,SecuBk_1
SecuBk_1_18C_D,SecuBk_1_D
SecuBk_1_18C,SecuBk_1
SecuBk_1_22C_D,SecuBk_1
SecuBk_1_22C,SecuBk_1_D
SecuBk_5_14C_D,SecuBk_5_D
SecuBk_5_14C,SecuBk_5
SecuBk_5_18C_D,SecuBk_5_D
SecuBk_5_18C,SecuBk_5
SecuBK_5_22C_D,Secu_5_D
Tcoc_1_38C,Tcoc_1
Tcoc_2_38C,Tcoc_2
UlvaBk_8_14C_D,UlvaBk_8
UlvaBk_8_14C,UlvaBk_8
UlvaBk_8_30C_D,UlvaBk_8_D
XcookBk_6_26C,Xcook_6
XcookBk_8_26C,Xcook_8
Blank_5_18C,Blank_5
Blank_8_18C,Blank_8
Blank_9_22C,Blank_9
Cexpl_6_14C,Cexpl_6
Cexpl_10_14C,Cexpl_10
CexplBk_1_18C,CexplBK_1
CexplBk_7_18C,CexplBk_7
CfuscBk_7_14C,CfuscBK_7
EcompBk_9_14C,EcompBk_9
EcompBk_9_18C,EcompBk_9
Egala2_9_36C,Egala2_2
GgrapBk_5_14C,Ggrap_5
GracBk_3_32C_D,GracBk_3_D
GracBk_3_32C,GracBk_3
LsemiBk_2_14C,LsemiBk_2
LsemiBk_4_14C,LsemiBk_4
LtubeBk_3_15C,Ltube_3
SecuBk_1_32C,SecuBk_1
Tmelo_Bk_3_14C,TmeloBk_3
UlvaBk_7_14C_D,UlvaBk_7_D
UlvaBk_7_14C,UlvaBk_7_D
UlvaBk_7_18C_D,UlvaBk_7_D
UlvaBk_7_18C,UlvaBk_7_D
Blank_5_14C,Blank_5
Blank_8_14C,Blank_8
Blank_9_14C,Blank_9
Blank_10_14C,Blank_10
Blank_10_18C,Blank_10
Blank_5_30C,Blank_5
Blank_6_30C,Blank_6
Blank_7_30C,Blank_7
Blank_8_30C,Blank_8
Blank_9_30C,Blank_9
Blank_10_30C,Blank_10
Blank_10_36C,Blank_10
Cexpl_10_22C,Cexpl_10
Cgood_8_26C,Cgood_8
Egala_8_32C,Egala_8
Egala_9_32C,Egala_9
Egala2_1_32C,Egala2_1
Egala2_2_18C,Egala2_2
FobscBk_4_22C,FobscBk_4
FobscBk_4_26C,FobscBk_4
Ggrap_9_24C,Ggrap_9
Lsemi_3_16C,Lsemi_3
Lsemi_5_30C,Lsemi_5
Ltube_6_22C,Ltube_6
Prubr_3_33C,Prubr_3
Prubr_8_28C,Prubr_8
PtubeBk_1_26C,PtubeBk_1
Sarg_2_26C_D,Sarg_2_D
Secu_8_26C_D,Secu_8_D
Secu_8_36C,Secu_8
Secu_9_26C_D,Secu_9_D
Tcoc_4_38C,Tcoc_4
Tcoc_5_38C,Tcoc_5
Tcoc_7_38C,Tcoc_7
Tcoc_8_38C,Tcoc_8
Tcoc_9_38C,Tcoc_9
Tcoc_10_38C,Tcoc_10
TcocBk_3_38C,TcocBk_3
TcocBk_6_38C,TcocBk_6
Ulva_4_28C_D,Ulva_4_D
Ulva_9_22C_D,Ulva_9_D
Xcook_4_40C,Xcook_4
Xcook_7_22C,Xcook_7
Ulva_9_30C_D,Ulva_9_D
Ulva_3_30C,Ulva_3
GracBk_9_14C,GracBk_9
GracBk_3_18C_D,GracBk_3_D
GracBk_3_28C_D,GracBk_3_D
GracBk_9_14C_D,GracBk_9_D
GracBk_9_18C_D,GracBk_9_D
SecuBk_1_32C_D,SecuBk_1_D
Padi_5_18C_D,Padi_5_D
PadiBk_8_30C_D,PadiBk_8_D
PadiBk_9_18C,PadiBk_9
UlvaBk_8_18C_D,UlvaBk_8_D
UlvaBk_8_18C,UlvaBk_8_D
SecuBK_1_40C_D,SecuBk_1_D
Secu_4_32C_D,Secu_4_D
