Species,Organism.ID,Light_Dark
Prubr,Prubr_7,Dark
Prubr,Prubr_8,Dark
Prubr,Prubr_9,Dark
Prubr,Prubr_10,Dark
Acali,Acali_1,Dark
Acali,AcaliBk_2,Dark
Acali,Acali_3,Dark
Acali,Acali_4,Dark
Acali,AcaliBk_5,Dark
Acali,Acali_6,Dark
Acali,Acali_7,Dark
Acali,Acali_8,Dark
Acali,Acali_9,Dark
Acali,Acali_10,Dark
Ptube ,PtubeBk_1,Dark
Ptube ,Ptube_2,Dark
Ptube ,Ptube_3,Dark
Ptube ,Ptube_4,Dark
Ptube ,Ptube_5,Dark
Ptube ,Ptube_6,Dark
Ptube ,Ptube_7,Dark
Ptube ,PtubeBk_8,Dark
Ptube ,Ptube_9,Dark
Ptube ,Ptube_10,Dark
Egala,Egala2_1,Dark
Egala,Egala2_2,Dark
Egala,Egala2_3,Dark
Egala,Egala2_4,Dark
Egala,Egala2Bk_5,Dark
Egala,Egala2_6,Dark
Egala,Egala2Bk_7,Dark
Egala,Egala2_8,Dark
Egala,Egala2_9,Dark
Egala,Egala2_10,Dark
Bdide,Bdide_1,Dark
Bdide,Bdide_2,Dark
Bdide,Bdide_3,Dark
Bdide,BdideBk_4,Dark
Bdide,Bdide_5,Dark
Bdide,Bdide_6,Dark
Bdide,Bdide_7,Dark
Bdide,Bdide_8,Dark
Bdide,Bdide_9,Dark
Bdide,BdideBk_10,Dark
Ukred,Ukred_1,Dark
Ukred,UkredBk_2,Dark
Ukred,Ukred_3,Dark
Ukred,Ukred_4,Dark
Ukred,Ukred_5,Dark
Ukred,Ukred_6,Dark
Ukred,Ukred_7,Dark
Ukred,UkredBk_8,Dark
Ukred,Ukred_9,Dark
Ukred,Ukred_10,Dark
Ukorg,UkorgBk_1,Dark
Ukorg,Ukorg_2,Dark
Ukorg,Ukorg_3,Dark
Ukorg,UkorgBk_4,Dark
Ukorg,Ukorg_5,Dark
Ukorg,Ukorg_6,Dark
Ukorg,Ukorg_7,Dark
Ukorg,Ukorg_8,Dark
Ukorg,Ukorg_9,Dark
Ukorg,Ukorg_10,Dark
Anigr,Anigr_1,Dark
Anigr,Anigr_2,Dark
Anigr,Anigr_3,Dark
Anigr,Anigr_4,Dark
Anigr,Anigr_5,Dark
Anigr,Anigr_6,Dark
Anigr,Anigr_7,Dark
Anigr,AnigrBk_8,Dark
Anigr,Anigr_9,Dark
Anigr,AnigrBk_10,Dark
Xcook,Xcook_1,Dark
Xcook,Xcook_2,Dark
Xcook,Xcook_3,Dark
Xcook,Xcook_4,Dark
Xcook,Xcook_5,Dark
Xcook,XcookBk_6,Dark
Xcook,Xcook_7,Dark
Xcook,XcookBk_8,Dark
Xcook,Xcook_9,Dark
Xcook,Xcook_10,Dark
Ecomp,Ecomp_1,Dark
Ecomp,Ecomp_2,Dark
Ecomp,Ecomp_3,Dark
Ecomp,Ecomp_4,Dark
Ecomp,Ecomp_5,Dark
Ecomp,EcompBk_6,Dark
Ecomp,Ecomp_7,Dark
Ecomp,Ecomp_8,Dark
Ecomp,EcompBk_9,Dark
Ecomp,Ecomp_10,Dark
Fobsc,Fobsc_1,Dark
Fobsc,Fobsc_2,Dark
Fobsc,Fobsc_3,Dark
Fobsc,FobscBk_4,Dark
Fobsc,FobscBk_5,Dark
Fobsc,Fobsc_6,Dark
Fobsc,Fobsc_7,Dark
Fobsc,Fobsc_8,Dark
Fobsc,Fobsc_9,Dark
Fobsc,Fobsc_10,Dark
Cfusc,Cfusc_1,Dark
Cfusc,Cfusc_2,Dark
Cfusc,Cfusc_3,Dark
Cfusc,Cfusc_4,Dark
Cfusc,Cfusc_5,Dark
Cfusc,Cfusc_6,Dark
Cfusc,CfuscBk_7,Dark
Cfusc,CfuscBk_8,Dark
Cfusc,Cfusc_9,Dark
Cfusc,Cfusc_10,Dark
Cgood,Cgood_1,Dark
Cgood,Cgood_2,Dark
Cgood,CgoodBk_3,Dark
Cgood,CgoodBk_4,Dark
Cgood,Cgood_5,Dark
Cgood,CgoodBk_6,Dark
Cgood,Cgood_7,Dark
Cgood,Cgood_8,Dark
Cgood,Cgood_9,Dark
Cgood,Cgood_10,Dark
Grac,Grac_1,Light 
Grac,Grac_2,Light 
Grac,GracBk_3,Light 
Grac,Grac_4,Light 
Grac,Grac_5,Light 
Grac,Grac_6,Light 
Grac,Grac_7,Light 
Grac,Grac_8,Light 
Grac,GracBk_9,Light 
Grac,Grac_10,Light 
Grac,Grac_1,Dark
Grac,Grac_2,Dark
Grac,GracBk_3,Dark
Grac,Grac_4,Dark
Grac,Grac_5,Dark
Grac,Grac_6,Dark
Grac,Grac_7,Dark
Grac,Grac_8,Dark
Grac,GracBk_9,Dark
Grac,Grac_10,Dark
Padi,Padi_1,Light 
Padi,Padi_2,Light 
Padi,Padi_3,Light 
Padi,Padi_4,Light 
Padi,Padi_5,Light 
Padi,Padi_6,Light 
Padi,Padi_7,Light 
Padi,PadiBk_8,Light 
Padi,PadiBk_9,Light 
Padi,Padi_10,Light 
Padi,Padi_1,Dark
Padi,Padi_2,Dark
Padi,Padi_3,Dark
Padi,Padi_4,Dark
Padi,Padi_5,Dark
Padi,Padi_6,Dark
Padi,Padi_7,Dark
Padi,PadiBk_8,Dark
Padi,PadiBk_9,Dark
Padi,Padi_10,Dark
Sarg,Sarg_1,Light 
Sarg,Sarg_2,Light 
Sarg,Sarg_3,Light 
Sarg,Sarg_4,Light 
Sarg,Sarg_5,Light 
Sarg,Sarg_6,Light 
Sarg,Sarg_7,Light 
Sarg,SargBk_8,Light 
Sarg,Sarg_9,Light 
Sarg,SargBk_10,Light 
Sarg,Sarg_1,Dark
Sarg,Sarg_2,Dark
Sarg,Sarg_3,Dark
Sarg,Sarg_4,Dark
Sarg,Sarg_5,Dark
Sarg,Sarg_6,Dark
Sarg,Sarg_7,Dark
Sarg,SargBk_8,Dark
Sarg,Sarg_9,Dark
Sarg,SargBk_10,Dark
Secu,SecuBk_1,Light 
Secu,Secu_2,Light 
Secu,Secu_3,Light 
Secu,Secu_4,Light 
Secu,SecuBk_5,Light 
Secu,Secu_6,Light 
Secu,Secu_7,Light 
Secu,Secu_8,Light 
Secu,Secu_9,Light 
Secu,Secu_10,Light 
Secu,SecuBk_1,Dark
Secu,Secu_2,Dark
Secu,Secu_3,Dark
Secu,Secu_4,Dark
Secu,SecuBk_5,Dark
Secu,Secu_6,Dark
Secu,Secu_7,Dark
Secu,Secu_8,Dark
Secu,Secu_9,Dark
Secu,Secu_10,Dark
Ulva,Ulva_1,Light 
Ulva,Ulva_2,Light 
Ulva,Ulva_3,Light 
Ulva,Ulva_4,Light 
Ulva,Ulva_5,Light 
Ulva,Ulva_6,Light 
Ulva,UlvaBk_7,Light 
Ulva,UlvaBk_8,Light 
Ulva,Ulva_9,Light 
Ulva,Ulva_10,Light 
Ulva,Ulva_1,Dark
Ulva,Ulva_2,Dark
Ulva,Ulva_3,Dark
Ulva,Ulva_4,Dark
Ulva,Ulva_5,Dark
Ulva,Ulva_6,Dark
Ulva,UlvaBk_7,Dark
Ulva,UlvaBk_8,Dark
Ulva,Ulva_9,Dark
Ulva,Ulva_10,Dark
